month,mkt_rf_equal,smb_equal,hml_equal,mkt_rf,smb,hml
201903,10.621785,1.5761648,-1.2688279,6.3277478,5.310483,-3.9740124
201904,-3.7239511,-.057248592,.95861256,-.77395993,-2.7294114,.41144747
201905,-4.9501128,2.8933623,-.82875025,-6.0177374,2.0303717,-.27487397
201906,.65443927,-1.0319483,.5980733,3.4098315,-5.045898,-.38276115
201907,-1.840688,-.39758959,-.0013687313,-.33112127,-2.3721745,-.16848251
201908,-1.3405489,-.48107016,-3.0666096,-1.0874882,-.88395369,-5.4217458
201909,1.3264159,1.1619489,-.61379474,.55202603,1.1507436,.3601197
201910,-.43185389,-.27942336,-.96800965,1.1317983,-1.8759252,-1.3632823
201911,-2.2453699,-.72731024,-.4444263,-1.6631167,-.83862466,-.085346043
201912,8.176877,.84120321,-.903795,6.7131605,1.4173244,-1.2873416
202001,.2993632,.25344235,-2.4825175,-1.3434755,2.6660891,-2.4835382
202002,-.12073567,-.87055171,-2.1206889,-1.1649789,1.1970288,-3.6452827
202003,-3.808573,2.8538089,1.5667295,-5.6863132,1.2999703,1.02555
202004,2.0292692,-2.3002675,-.81213766,4.5763187,-3.3135622,-2.5373802
202005,1.6193446,.86463761,-.094789341,.089632578,2.2214489,-1.5991969
202006,6.7233782,-.042512894,-2.7375238,7.3672619,.36398664,-5.8389502
202007,13.261534,-1.2403761,1.3743887,12.912978,-.0032656987,-2.4133735
202008,3.4701493,3.2023764,-.52684116,2.5534608,1.6623591,-.76187569
202009,-6.8760056,1.0430846,1.0778558,-5.6917963,-1.2139152,1.7804419
202010,.012859261,2.1579182,.036042519,.9105078,-.40059662,-.7255283
202011,2.7429717,-1.5867765,3.3630409,4.0542536,-2.8287082,4.6505361
202012,-3.2967808,-4.6101046,-.95445126,2.6062086,-6.6047077,-5.0208197
