enterprise,num_id,date,ret,price,open,close,high,low,mktret,event_date1,event_date2,event_date3,id,t1,t2,date_new,event_window,event_estimate,N,predict_return,AR,CAR,car_date
*ST未来,600532.SH,2021/10/18,-0.010614525,17.9,3568.14,3571.05,3571.05,3539.48,-0.0012,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-93,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/10/19,0.003895381,17.97,3593.15,3562.3,3596.79,3560.62,0.007,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-92,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/10/20,-0.015828151,17.69,3587,3583.24,3596.05,3574.3,-0.0017,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-91,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/10/21,0.007851935,17.83,3594.78,3590.05,3610.96,3576.35,0.0022,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-90,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/10/22,0.02992383,18.38,3582.6,3594.75,3607.58,3578.76,-0.0034,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-89,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/10/25,0.010231556,18.57,3609.86,3574.26,3611.09,3564.21,0.0076,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-88,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/10/26,0.000538213,18.58,3597.64,3612.83,3625.02,3589.71,-0.0034,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-87,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/10/27,-0.005955604,18.47,3562.31,3589.86,3589.86,3553.13,-0.0098,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-86,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/10/28,-0.022136137,18.07,3518.42,3548.7,3552.04,3509.49,-0.0123,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-85,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/10/29,-0.002774695,18.02,3547.34,3519.33,3547.34,3502.8,0.0082,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-84,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/1,0.017448201,18.34,3544.48,3530.4,3556.59,3519.29,-0.0008,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-83,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/2,-0.018888889,18,3505.63,3543.38,3559.05,3477.66,-0.011,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-82,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/3,-0.021566402,17.62,3498.54,3501.1,3512.61,3480.49,-0.002,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-81,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/4,0.021111111,18,3526.87,3505.89,3527.95,3503.01,0.0081,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-80,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/5,0.005524862,18.1,3491.57,3520.21,3525.87,3491.46,-0.01,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-79,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/8,-0.014005602,17.85,3498.63,3491.97,3507.27,3484.24,0.002,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-78,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/9,-0.00450197,17.77,3507,3507.11,3514.95,3489.04,0.0024,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-77,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/10,-0.003954802,17.7,3492.46,3498.94,3498.94,3448.44,-0.0041,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-76,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/11,0.005617978,17.8,3532.79,3486.45,3534.2,3482.83,0.0115,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-75,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/12,-0.004514673,17.72,3539.1,3534.15,3543.65,3527.39,0.0018,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-74,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/15,-0.002262443,17.68,3533.3,3542.9,3550.44,3521.29,-0.0016,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-73,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/16,0.02320442,18.1,3521.79,3530.46,3549.77,3517.81,-0.0033,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-72,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/17,-0.014005602,17.85,3537.37,3518.56,3537.51,3513.52,0.0044,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-71,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/18,-0.002808989,17.8,3520.71,3531.49,3537.98,3513.11,-0.0047,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-70,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/19,-0.015402168,17.53,3560.37,3519.28,3561.91,3517.65,0.0113,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-69,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/22,-0.002860412,17.48,3582.08,3562.76,3585.19,3562.75,0.0061,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-68,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/23,-0.009820913,17.31,3589.09,3580.51,3598.38,3577.36,0.002,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-67,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/24,-0.00991832,17.14,3592.7,3590.02,3602.74,3575.29,0.001,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-66,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/25,-0.003512881,17.08,3584.18,3593.39,3597.15,3579.53,-0.0024,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-65,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/26,-0.005297234,16.99,3564.09,3576.11,3576.11,3554.88,-0.0056,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-64,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/29,0.000588235,17,3562.7,3528.67,3563.68,3526.35,-0.0004,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-63,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/11/30,0.003516999,17.06,3563.89,3570.75,3582.11,3546.36,0.0003,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-62,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/1,-0.01911589,16.74,3576.89,3561.89,3576.89,3558.69,0.0036,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-61,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/2,0.02900232,17.24,3573.84,3573.25,3586.87,3567.14,-0.0009,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-60,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/3,-0.020118343,16.9,3607.43,3576.45,3608.47,3573.21,0.0094,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-59,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/6,0.021424435,17.27,3589.31,3615.24,3626.13,3586.81,-0.005,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-58,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/7,0.031950673,17.84,3595.09,3611.22,3614.22,3572.57,0.0016,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-57,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/8,-0.013636364,17.6,3637.57,3602.82,3637.72,3591.99,0.0118,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-56,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/9,-0.000568505,17.59,3673.04,3641.16,3688.4,3638.7,0.0098,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-55,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/10,-0.01091954,17.4,3666.35,3654.37,3667.85,3651.35,-0.0018,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-54,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/13,-0.009866512,17.23,3681.08,3686.94,3708.94,3678.06,0.004,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-53,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/14,0.004046243,17.3,3661.53,3669.81,3671.68,3654.66,-0.0053,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-52,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/15,0,17.3,3647.63,3655.05,3668.4,3645.24,-0.0038,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-51,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/16,-0.007571345,17.17,3675.02,3648.93,3675.02,3644.66,0.0075,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-50,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/17,0.013785181,17.41,3632.36,3670.26,3673.65,3631.66,-0.0116,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-49,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/20,-0.026533019,16.96,3593.6,3620.04,3643.95,3589.36,-0.0107,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-48,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/21,0.013379872,17.19,3625.13,3591.45,3627.09,3591.45,0.0088,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-47,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/22,0.009221902,17.35,3622.62,3632.68,3635.9,3616.55,-0.0007,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-46,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/23,0.031808036,17.92,3643.34,3625.47,3643.55,3618.05,0.0057,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-45,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/24,0.042735043,18.72,3618.05,3645.39,3648.96,3612.07,-0.0069,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-44,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/27,0.015255129,19.01,3615.97,3613.05,3632.19,3601.94,-0.0006,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-43,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/28,-0.024797844,18.55,3630.11,3619.64,3631.08,3607.36,0.0039,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-42,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/29,-0.01532567,18.27,3597,3630.92,3630.92,3596.32,-0.0091,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-41,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/30,0.0256,18.75,3619.19,3596.49,3628.92,3595.5,0.0062,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-40,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/12/31,-0.015709642,18.46,3639.78,3626.24,3642.84,3624.94,0.0057,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-39,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2022/1/4,0.005923533,18.57,3632.33,3649.15,3651.89,3610.09,-0.002,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-38,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2022/1/5,-0.006504065,18.45,3595.18,3628.26,3628.26,3583.47,-0.0102,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-37,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2022/1/6,0.004317323,18.53,3586.08,3581.22,3594.49,3559.88,-0.0025,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-36,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2022/1/7,-0.008709853,18.37,3579.54,3588.99,3607.23,3577.1,-0.0018,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-35,0,1,80,,,-0.042036582,
